"country","pctpop0.14","pctpop15.24","pctpop25.54","pctpop55.64","pctpop65"
"Afghanistan",42,22.2,29.4,3.9,2.5
"Albania",19.3,19.2,40,10.5,11.1
"Algeria",28.4,17.4,42.8,6.2,5.2
"American Samoa",24.9,20.2,41.7,8.2,4.9
"Andorra",15.3,9.2,48.7,12.5,14.3
"Angola",43.2,20.5,29.3,4,2.9
"Anguilla",23.3,14.1,45,9.4,8.3
"Antigua and Barbuda",24.3,16.8,42.6,8.9,7.3
"Argentina",24.9,15.7,38.9,9.1,11.4
"Armenia",19.1,15.2,43.5,11.7,10.5
"Aruba",17.8,13.5,43,13.5,12.3
"Australia",18,13.3,41.8,11.8,15.1
"Austria",13.6,11.6,42.9,12.7,19.2
"Azerbaijan",22.7,17.5,45.1,8.5,6.3
"Bahamas, The",23.2,17.4,44.1,8.3,7
"Bahrain",19.7,15.9,56.2,5.5,2.7
"Bangladesh",32.3,18.8,38,5.9,5
"Barbados",18.4,13.6,45,12.5,10.5
"Belarus",15.4,11.7,45.5,13.3,14.2
"Belgium",15.6,11.7,40.4,13.3,19
"Belize",35.3,21,35.5,4.6,3.6
"Benin",43.8,20.1,29.9,3.5,2.8
"Bermuda",17.5,12.2,39.3,14.6,16.4
"Bhutan",27.3,20.1,40.8,5.8,6
"Bolivia",33.3,19.8,36.3,5.7,4.9
"Bosnia and Herzegovina",13.7,12.7,46.7,13.7,13.3
"Botswana",32.9,21.6,37,4.4,4
"Brazil",23.8,16.5,43.7,8.4,7.6
"British Virgin Islands",17.2,14.5,49.8,10.6,7.9
"Brunei",24.2,17.3,46.9,7.6,4
"Bulgaria",14.2,10.1,42.4,14,19.3
"Burkina Faso",45.4,20.1,29,3.1,2.5
"Burma",26.4,18.3,43.1,7,5.3
"Burundi",45.7,19.3,28.6,3.9,2.5
"Cabo Verde",30.6,21.4,38,4.9,5.1
"Cambodia",31.6,20.5,38.9,5.1,4
"Cameroon",42.9,19.6,30.4,3.9,3.1
"Canada",15.5,12.7,41,13.5,17.3
"Cayman Islands",18.4,12.9,44,13.6,11.1
"Central African Republic",40.6,20.1,31.8,3.9,3.6
"Chad",44.7,20.6,27.8,3.9,3
"Chile",20.7,16.3,43.2,9.9,9.9
"China",17.1,14.7,47.2,11.3,9.6
"Colombia",25.3,18,41.6,8.3,6.7
"Comoros",41.3,18.8,31.9,4.1,3.8
"Congo, Democratic Republic of the",43.1,21.4,29.4,3.5,2.6
"Congo, Republic of the",41.1,17.7,34.2,4,3
"Cook Islands",22.8,17.9,38,10.3,11
"Costa Rica",23.5,17.5,43.8,8.3,7
"Cote d'Ivoire",38.4,21,33,4.3,3.3
"Croatia",14.5,12.1,41.1,14.5,17.8
"Cuba",16.3,13.6,47.1,10.4,12.6
"Curacao",20.6,15.4,38.5,12.6,13
"Cyprus",15.7,15.3,46.9,10.8,11.2
"Czech Republic",14.9,10.6,43.6,13.4,17.5
"Denmark",17,13.1,39.2,12.4,18.4
"Djibouti",32.9,22,36.9,4.6,3.5
"Dominica",22.1,16.7,41.5,9.2,10.5
"Dominican Republic",28,18.5,39.3,7.2,7
"Ecuador",28.5,18.6,38.9,7.1,6.9
"Egypt",32.1,17.8,38.4,6.7,5
"El Salvador",28.1,20.8,37.5,6.6,6.9
"Equatorial Guinea",40.8,19.5,31.5,4.2,4
"Eritrea",40.8,20.2,31.5,3.8,3.7
"Estonia",15.6,11.2,41.5,13.2,18.6
"Ethiopia",44.2,19.9,29.2,3.9,2.8
"European Union",15.4,11.2,42.1,12.7,18.5
"Faroe Islands",20.3,15.3,36.8,11.8,15.8
"Fiji",28.2,17.1,41.1,7.8,5.8
"Finland",15.8,12.1,38.1,14.2,19.8
"France",18.7,11.9,38.6,12.5,18.3
"French Polynesia",23.7,16.7,43.9,8.5,7.1
"Gabon",42.1,20.3,29.7,4.2,3.8
"Gambia, The",38.7,21,33,4,3.3
"Gaza Strip",43.2,20.6,30.1,3.5,2.6
"Georgia",17.6,14,40.9,12.2,15.3
"Germany",13,10.6,41.7,13.6,21.1
"Ghana",38.6,18.7,33.8,4.8,4.1
"Gibraltar",20.1,16,38.1,10.8,15
"Greece",14.1,9.8,43.2,12.7,20.2
"Greenland",21.5,16.5,42.5,11.3,8.3
"Grenada",24.5,16.5,40.3,9.2,9.4
"Guam",26,16.9,39.3,9.3,8.5
"Guatemala",36.2,22.1,32.4,5.2,4.2
"Guernsey",14.6,11.9,42.2,12.9,18.4
"Guinea",42,19.5,30.4,4.4,3.6
"Guinea-Bissau",39.8,20.2,32.1,4.7,3.3
"Guyana",29,21,37.2,7.5,5.3
"Haiti",34,21.6,35.3,5,4.1
"Honduras",34.8,21.2,35.3,4.7,4
"Hong Kong",12.1,11.5,46.9,14.8,14.7
"Hungary",14.8,11.7,41.6,14,17.8
"Iceland",19.7,14.5,40.7,11.6,13.5
"India",28.5,18.1,40.6,7,5.8
"Indonesia",26.2,17.1,42.3,7.9,6.5
"Iran",23.7,18.7,46.1,6.3,5.2
"Iraq",36.7,19.6,36.3,4.2,3.2
"Ireland",21.4,11.9,44.1,10.1,12.4
"Isle of Man",16.3,11.9,39.5,12.8,19.4
"Israel",27.1,15.7,37.8,8.8,10.7
"Italy",13.8,9.8,43,12.4,21
"Jamaica",28.4,21.7,36.4,5.6,7.8
"Japan",13.2,9.7,38.1,13.2,25.8
"Jersey",16,14.8,41.4,12.2,15.7
"Jordan",35.8,20.4,35.7,4.2,3.9
"Kazakhstan",25.1,16.1,42.6,9.2,7
"Kenya",42.1,18.7,32.8,3.7,2.8
"Kiribati",31.5,21.3,37.8,5.5,4
"Korea, North",21.5,16.3,44,8.6,9.7
"Korea, South",14.1,13.5,47.3,12.4,12.7
"Kosovo",26.3,18.1,41.5,7.2,6.9
"Kuwait",25.4,15.3,52.3,4.7,2.2
"Kyrgyzstan",29.8,18.8,39.4,7.1,4.9
"Laos",34.8,21.3,35,5.1,3.8
"Latvia",14.2,11,44.8,12.8,17.2
"Lebanon",25.2,17.2,44.1,6.9,6.7
"Lesotho",32.9,19.9,36.8,4.9,5.4
"Liberia",43.2,17.9,31.5,4.3,3.1
"Libya",26.9,18.2,46.1,4.8,4
"Liechtenstein",15.7,11.7,43.1,13.4,16
"Lithuania",13.5,12.5,44.7,12.2,17
"Luxembourg",17.9,12.7,42.1,12,15.4
"Macau",14.4,13.7,50.9,11.8,9.2
"Macedonia",17.7,14.1,43.8,12.1,12.4
"Madagascar",40.7,20.6,31.3,4.2,3.2
"Malawi",46.9,20.2,27.1,3.1,2.7
"Malaysia",28.8,16.9,41.2,7.6,5.5
"Maldives",21,23.4,46.5,4.8,4.3
"Mali",47.6,19,26.7,3.7,3
"Malta",15.1,12.6,40.4,14,17.9
"Marshall Islands",36.6,17.5,36.9,5.7,3.4
"Mauritania",39.5,20,32.5,4.5,3.6
"Mauritius",21,15.5,44.1,10.9,8.4
"Mexico",27.9,18.1,40.4,7,6.6
"Micronesia, Federated States of",31.9,20.2,38,6.5,3.4
"Moldova",17.7,14.2,43.9,13.1,11.1
"Monaco",11.7,9.2,35.1,14.5,29.5
"Mongolia",26.8,18.7,44.5,5.9,4.1
"Montenegro",15.2,10.8,47.1,12.9,14
"Montserrat",17.6,21.5,47.9,6.9,6.1
"Morocco",26.7,17.7,42,7.3,6.3
"Mozambique",45.3,21.3,27,3.5,2.9
"Namibia",31.7,23.1,35.9,4.8,4.4
"Nauru",32.5,16.9,42.7,6,1.9
"Nepal",31.6,22.6,35.7,5.6,4.5
"Netherlands",16.9,12.2,40.4,12.9,17.6
"New Caledonia",23.6,17,42.8,8.1,8.5
"New Zealand",20,13.9,40.4,11.4,14.3
"Nicaragua",29.3,22.4,38,5.4,4.8
"Niger",49.8,18.4,25.9,3.3,2.6
"Nigeria",43.2,19.3,30.5,3.9,3.1
"Northern Mariana Islands",25.9,14.5,44.9,10,4.6
"Norway",18.2,13.1,40.8,11.7,16.1
"Oman",30.4,19.9,42.6,3.9,3.3
"Pakistan",33.3,21.5,35.7,5.1,4.3
"Palau",20.5,17.4,46.4,8.6,7.1
"Panama",27.4,17.3,40.1,7.4,7.8
"Papua New Guinea",35,19.7,36.2,5.2,3.9
"Paraguay",26.2,20.5,39.5,7.2,6.6
"Peru",27.3,19.2,39.4,7.3,6.9
"Philippines",33.7,19,37,5.8,4.5
"Poland",14.6,11.9,43.8,14.7,15
"Portugal",15.9,11.4,42.2,11.9,18.6
"Puerto Rico",18.1,14.5,38.5,12,17
"Qatar",12.5,13.4,69.9,3.4,0.9
"Romania",14.6,11.3,45.7,13,15.4
"Russia",16.4,10.7,45.8,13.8,13.3
"Rwanda",42.1,18.9,32.5,4,2.5
"Saint Barthelemy",17.8,6.9,46.1,15,14.2
"Saint Helena, Ascension, and Tristan da Cunha",16.9,11.9,45.1,12.4,13.7
"Saint Kitts and Nevis",21.4,15.4,45.1,10.2,7.9
"Saint Lucia",21.2,16.6,42.9,8.8,10.5
"Saint Martin",26.6,10.8,47.2,8.5,6.9
"Saint Pierre and Miquelon",16.3,8.5,43.5,13.9,17.9
"Saint Vincent and the Grenadines",22.9,16.7,42.6,9.2,8.6
"Samoa",33.4,20.1,35.2,6,5.4
"San Marino",16,10.9,42.4,12,18.8
"Sao Tome and Principe",43.5,19.8,30.3,3.5,2.9
"Saudi Arabia",27.6,19.3,45.4,4.5,3.2
"Senegal",42.5,20.5,30.4,3.8,2.9
"Serbia",14.8,11.6,41.6,14.7,17.2
"Seychelles",20.9,14.2,49.4,8.2,7.3
"Sierra Leone",41.9,18.8,31.6,3.9,3.7
"Singapore",13.4,17.8,50.3,10,8.5
"Sint Maarten",19.7,16.3,45.3,12.9,5.8
"Slovakia",15.2,12.2,45.2,13.5,13.9
"Slovenia",13.4,10,43.9,14.8,17.9
"Solomon Islands",36.2,20,35.4,4.4,4.1
"Somalia",44,18.9,31.2,3.6,2.3
"South Africa",28.3,20.2,38.2,7.1,6.3
"South Sudan",45.8,19.9,29.1,3.2,2.1
"Spain",15.4,9.6,45.9,11.4,17.6
"Sri Lanka",24.7,14.9,42.1,9.5,8.7
"Sudan",40.8,20.2,31.8,3.9,3.3
"Suriname",26.2,17.6,44.1,6.5,5.7
"Swaziland",36.5,22.3,33.2,4.2,3.8
"Sweden",16.9,12.3,39.2,11.7,19.8
"Switzerland",15.1,11.4,43.9,12,17.5
"Syria",33.1,20.2,37.9,4.8,3.9
"Taiwan",14,13.4,47.4,13.2,12
"Tajikistan",33,20.1,38.9,4.8,3.2
"Tanzania",44.6,19.5,29.5,3.5,2.9
"Thailand",17.6,15,46.9,10.9,9.5
"Timor-Leste",42.4,19.8,29.3,4.8,3.7
"Togo",40.7,19.7,32.1,4.2,3.3
"Tonga",35.6,19.3,33.3,5.5,6.3
"Trinidad and Tobago",19.4,13,46.9,11.1,9.5
"Tunisia",23,16,44.6,8.4,7.9
"Turkey",25.5,16.8,42.9,8.1,6.7
"Turkmenistan",26.4,20.2,42.3,6.9,4.2
"Turks and Caicos Islands",22.1,14.8,53.5,5.3,4.2
"Tuvalu",29.6,20.6,36.2,8.2,5.4
"Uganda",48.7,21.2,25.7,2.4,2.1
"Ukraine",14,11.5,45,13.6,15.9
"United Arab Emirates",20.7,13.7,61.5,3.1,1
"United Kingdom",17.3,12.6,41,11.5,17.5
"United States",19.4,13.7,39.9,12.6,14.5
"Uruguay",21,16,38.9,10.1,13.9
"Uzbekistan",24.9,20.5,43,6.8,4.8
"Vanuatu",37.3,19.8,34.2,5,3.7
"Venezuela",28.2,18.8,39.6,7.5,5.9
"Vietnam",24.3,17.8,44.8,7.4,5.7
"Virgin Islands",17.8,10.3,39,14.3,18.6
"Wallis and Futuna",23.4,17.8,40.7,9.2,8.9
"West Bank",33.7,21.7,36.4,4.4,3.8
"Western Sahara",38.1,19.7,33.7,4.8,3.7
"World",25.79,16.61,40.78,8.51,8.32
"Yemen",41.7,21.1,30.9,3.7,2.6
"Zambia",46.2,20,28.5,2.9,2.4
"Zimbabwe",38.4,22.1,32.3,3.6,3.5
